Entity1,Relationship,Entity2
UNMIK,is mandated to administer,territory of Kosovo
UNMIK,includes,state owned assets
UNMIK,includes,publicly owned assets
UNMIK,includes,Pristina International Airport
jean david levitte,reveals frustration towards,iraq survey group
iraq survey group,has finding,un oilforfood program
un oilforfood program,was possibly misused by,french companies
jean david levitte,states that it is scandalous that,no us companies
jean david levitte,claimed that,many french companies
many french companies,were actually subsidiaries of,us firms
jean david levitte,planned to present,list of these companies
list of these companies,to,us congress
list of these companies,to,media
tssi french envoy,plans to release,list of us firms
us firms,allegedly profited from,off tssirel
jean david levitte,plans to respond to,information in the iraq survey group report
iraq survey group report,regarding possible misuse of,un oilforfood off program
french companies,with contracts under,off program
french companies,were actually subsidiaries of,us firms
jean david levitte,planned with,foreign ministry backing
foreign ministry backing,to present,list of these us companies
list of these us companies,to,us congress
list of these us companies,to,media
